station,validUTC,levelcode,pressure_mb,height_m,tmpc,dwpc,drct,speed_kts,bearing,range_sm
KOKX,2023-08-10 00:00:00,6,26.8,M,M,M,95.0,21,115.0,28.0
KOKX,2023-08-10 00:00:00,6,25.4,M,M,M,75.0,19,115.0,28.0
KOKX,2023-08-10 00:00:00,5,25.3,25300.0,-48.1,-80.1,95.0,21,115.0,28.0
KOKX,2023-08-10 00:00:00,6,24.4,M,M,M,85.0,25,115.0,27.0
KOKX,2023-08-10 00:00:00,6,24.2,25603.0,M,M,75.0,19,116.0,27.0
KOKX,2023-08-10 00:00:00,6,23.5,M,M,M,105.0,21,116.0,27.0
KOKX,2023-08-10 00:00:00,6,23.1,25908.0,M,M,85.0,25,116.0,27.0
KOKX,2023-08-10 00:00:00,6,22.7,M,M,M,85.0,20,116.0,27.0
KOKX,2023-08-10 00:00:00,5,22.5,26073.0,-48.1,-80.1,M,M,116.0,27.0
KOKX,2023-08-10 00:00:00,6,21.9,M,M,M,100.0,24,116.0,26.0
KOKX,2023-08-10 00:00:00,5,21.3,26434.0,-47.5,-79.5,M,M,116.0,26.0
KOKX,2023-08-10 00:00:00,6,21.2,M,M,M,110.0,18,116.0,26.0
KOKX,2023-08-10 00:00:00,6,20.5,M,M,M,85.0,18,117.0,26.0
KOKX,2023-08-10 00:00:00,5,20.1,26818.0,-46.9,-78.9,100.0,21,117.0,26.0
KOKX,2023-08-10 00:00:00,5,20.0,26851.0,-46.9,-78.9,105.0,20,117.0,26.0
KOKX,2023-08-10 00:00:00,6,19.2,27127.0,M,M,100.0,21,117.0,26.0
KOKX,2023-08-10 00:00:00,6,19.1,M,M,M,70.0,25,117.0,26.0
KOKX,2023-08-10 00:00:00,5,18.9,27225.0,-47.7,-79.7,M,M,117.0,25.0
KOKX,2023-08-10 00:00:00,6,18.3,27432.0,M,M,80.0,19,117.0,25.0
KOKX,2023-08-10 00:00:00,5,18.2,27473.0,-48.1,-80.1,M,M,117.0,25.0
KOKX,2023-08-10 00:00:00,6,18.0,M,M,M,95.0,26,118.0,25.0
